Term ID,proposed term's name,PubChem AID,existing BAO class for proposed (super) class,BAO parent ID,proposed super class for proposed term (optional),definition,hyperlinks,Class Type,Date from CDD
ID,A rdfs:label,A IAO:0000119 ,,CI ,,A IAO:0000115 ,A IAO:0000119 ,CLASS_TYPE,A IAO:0000116 
http://www.bioassayontology.org/bao#BAO_0150052,IonWorks automated electrophysiology system (Molecular Devices),PubChem AID: 2581,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,Automated patch clamp systems for ion channel research,https://www.moleculardevices.com/systems/automated-electrophysiology,subclass,Date from BAE: 6/26/2016
http://www.bioassayontology.org/bao#BAO_0150053,Analyst AD (Molecular Devices),PubChem AID: 463184,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,"Assay development system (plate-reader) with four modes: fluorescence, luminescence, absorbance, and Epi-absorbance (Molecular Devices)",,subclass,Date from BAE: 6/25/2016
http://www.bioassayontology.org/bao#BAO_0150054,Axopatch 200B amplifier (Molecular Devices),PubChem AID: 504828,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,An instument for single-channel recoding and whole-cell voltage-clamp recording (Axon Instruments/ Molecular Devices),https://www.moleculardevices.com/systems/axon-conventional-patch-clamp/axopatch-200b-amplifier,subclass,Date from BAE: 6/26/2016
http://www.bioassayontology.org/bao#BAO_0150055,Becton Dickinson (BD) LSRII FACS,PubChem AID: 652043,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,The BD LSRII FACS is an air-cooled multi-laser benchtop flow cytometer.,,subclass,Date from BAE: 5/11/2016
http://www.bioassayontology.org/bao#BAO_0150056,Synergy 2 Multi-Mode Reader (BioTek),PubChem AID: 652216,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,"The Synergy 2 Multi-Mode Plate Reader's (BioTek) detection modes include fluorescence intensity, fluorescence polarization, time-resolved fluorescence, AlphaScreen, luminescence and UV-visible absorbance.",http://www.biotek.com/products/microplate_detection/synergy2_multimode_microplate_reader.html,subclass,Date from BAE: 6/18/2016
http://www.bioassayontology.org/bao#BAO_0150057,"BMG PHERAstar FSX plate reader (BMG Labtech, Cary NC)",PubChem AID: 435018,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,BMG PHERAstar is a multi-mode benchtop plate reader; FSX and other models (BMG Labtech),http://www.bmglabtech.com/en/products/pherastar-fsx/#tab-product-detail,subclass,Date from BAE: 6/2/2016
http://www.bioassayontology.org/bao#BAO_0150058,Countess  automatic cell counter,PubChem AID: 588370,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,An automated cell counting device: Countess; Countes II FL has fluorescence capabilites (Invitrogen/ ThermoFisher),https://www.thermofisher.com/us/en/home/life-science/cell-analysis/cell-analysis-instruments/automated-cell-counters/countess-ii-fl-automated-cell-counter.html,subclass,Date from BAE: 6/1/2016
http://www.bioassayontology.org/bao#BAO_0150059,FacSCAN flow cytometer,PubChem AID: 1758,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,A flow cell_based benchtop cytometer (Becton Dickinson (BD)),,subclass,Date from BAE: 6/24/2016
http://www.bioassayontology.org/bao#BAO_0150060,Molecular Devices Vmax plate reader,PubChem AID: 2649,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,A filter-based absorbance platereader for kinetic and endpoint assays (Molecualr Devices),https://www.moleculardevices.com/systems/microplate-readers/absorbance-readers,subclass,Date from BAE: 6/22/2016
http://www.bioassayontology.org/bao#BAO_0150061,Molecular Devices SpectraMax Plate reader,PubChem AID: 504388,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,Several models of UV-visible absorbance microplate readers: SpectraMax 190; SpectraMax Plus 384; SpectraMax 340PC384 (Molecular Devices),https://www.moleculardevices.com/systems/microplate-readers/absorbance-readers,subclass,Date from BAE: 6/22/2016
http://www.bioassayontology.org/bao#BAO_0150062,Qpatch automated patch clamp system (Biolin),PubChem AID: 623915,detection instrument,http://www.bioassayontology.org/bao#BAO_0000697,,"Several models of automated patch clamp systems for studying ion channels: QPatch8, QPAtch16, QpatchHT (Biolin Scientific)",http://www.biolinscientific.com/product/qpatch-88x/,subclass,Date from BAE: 5/13/2016
